EnsemblGeneID	R1L1Kidney	R1L3Kidney	R1L7Kidney	R2L2Kidney	R2L6Kidney	R1L2Liver	R1L4Liver	R1L6Liver	R1L8Liver	R2L3Liver
ENSG00000189229	16	24	19	23	19	13	22	9	10	14
ENSG00000189339	49	58	35	68	43	23	16	25	15	21
ENSG00000008128	50	60	46	54	64	56	78	53	58	64
ENSG00000215790	2	2	4	5	1	0	0	0	1	3
ENSG00000008130	79	82	91	93	80	173	153	161	145	204
ENSG00000078369	848	838	836	852	884	316	320	360	314	351
ENSG00000169885	0	0	1	0	0	5	1	4	4	8
ENSG00000178821	1	2	2	2	5	7	4	8	3	6
ENSG00000205073	0	0	0	0	0	6	13	3	7	2
ENSG00000185011	0	0	0	0	0	0	0	0	0	0
ENSG00000142609	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	1	0	0	0	0	0	0	0	0	0
ENSG00000067606	72	68	66	74	85	23	39	25	19	27
ENSG00000205069	0	1	0	0	1	0	1	0	1	0
ENSG00000182873	3	3	3	5	10	2	1	5	1	3
ENSG00000162585	49	47	48	57	61	25	31	28	18	31
ENSG00000186423	4	7	2	5	5	2	5	2	5	5
ENSG00000215985	0	0	0	0	0	0	0	0	0	0
ENSG00000183472	0	0	0	0	1	1	1	2	0	1
ENSG00000157933	63	59	65	72	66	35	30	29	27	41
ENSG00000116151	13	10	5	10	12	2	1	0	6	3
ENSG00000178642	11	7	7	4	12	2	3	2	4	2
ENSG00000157916	340	315	339	401	367	339	330	346	331	382
ENSG00000157911	100	99	108	148	148	108	102	121	125	128
ENSG00000149527	15	8	15	12	19	8	6	5	7	8
ENSG00000157881	43	46	50	44	44	20	20	18	21	20
ENSG00000197921	0	0	2	0	0	0	0	2	0	1
ENSG00000205049	0	0	1	0	1	1	1	1	0	0
ENSG00000157873	88	105	83	105	131	54	68	64	61	64
ENSG00000157870	56	50	66	82	58	25	14	13	21	17
ENSG00000142606	11	5	6	14	9	5	4	1	4	1
ENSG00000215913	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	142	160	140	176	180	2	1	3	3	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0
ENSG00000177121	85	84	60	89	98	0	1	0	1	0
ENSG00000142611	47	37	44	45	54	2	2	3	1	4
ENSG00000130762	58	60	51	61	56	3	1	8	2	1
ENSG00000162591	29	20	16	27	21	20	38	23	26	26
ENSG00000207776	0	0	0	0	0	0	0	0	0	0
ENSG00000158109	188	200	184	200	228	204	232	230	209	260
ENSG00000116213	18	28	15	23	28	10	13	21	22	18
ENSG00000078900	0	0	0	0	0	0	0	0	0	1
ENSG00000187648	7	4	4	10	4	3	2	5	1	3
ENSG00000162592	0	0	0	0	0	1	0	0	0	0
ENSG00000130764	108	86	114	106	106	90	98	90	76	119
ENSG00000116198	84	87	88	80	106	50	39	46	46	42
ENSG00000169598	6	17	12	13	10	12	10	8	13	8
ENSG00000198912	55	40	39	51	57	32	31	25	26	32
ENSG00000196581	8	11	18	12	12	1	2	2	2	3
ENSG00000216045	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	22	17	24	25	23	10	12	9	4	5
ENSG00000069424	93	67	72	84	81	17	25	23	17	23
ENSG00000116254	4	4	6	4	5	0	2	0	2	0
ENSG00000116251	315	308	330	358	364	140	158	164	144	174
ENSG00000158286	55	61	61	66	65	24	30	25	23	38
ENSG00000116237	176	164	148	173	184	60	68	53	51	52
ENSG00000181563	0	1	1	1	2	2	0	2	0	0
ENSG00000173673	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	4	8	4	8	7	19	19	15	20	16
ENSG00000097021	86	78	81	88	90	17	18	28	13	15
ENSG00000204902	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	0	2	0	0	0	0	0	0	0	0
ENSG00000187017	102	84	83	108	107	138	137	112	131	146
ENSG00000215788	16	7	13	7	20	5	5	9	9	7
ENSG00000171680	22	18	22	27	21	5	8	6	3	10
ENSG00000162408	40	33	43	38	39	17	20	22	19	26
ENSG00000209367	0	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	1	0	0	0	0
ENSG00000204859	26	42	30	35	35	32	38	42	29	36
ENSG00000162413	146	145	146	148	161	70	74	67	60	80
ENSG00000116273	50	40	37	52	41	22	16	21	30	19
ENSG00000041988	21	21	14	27	32	12	13	14	21	13
ENSG00000007923	246	203	234	278	278	100	100	88	94	125
ENSG00000171735	85	92	108	82	88	19	19	16	15	12
ENSG00000175861	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	2	0
ENSG00000204819	0	0	0	0	0	0	0	0	0	0
ENSG00000049245	146	135	143	155	154	56	56	64	50	56
ENSG00000049246	94	126	85	131	119	100	111	93	86	99
ENSG00000049247	0	1	0	0	0	0	0	0	0	0
ENSG00000212677	0	0	0	0	0	0	0	0	0	0
ENSG00000049249	0	0	0	1	1	0	0	0	0	0
ENSG00000209371	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	364	395	394	481	474	214	229	198	171	208
ENSG00000200344	0	0	0	1	0	0	0	0	0	0
ENSG00000116285	115	144	115	143	153	1669	1753	1710	1675	1794
ENSG00000200975	0	0	0	0	0	1	2	1	1	0
ENSG00000209383	0	0	0	0	0	0	0	0	1	0
ENSG00000162426	26	31	30	29	32	0	0	1	0	0
ENSG00000206757	0	2	0	0	0	0	0	0	0	0
ENSG00000142599	464	463	458	523	446	192	191	163	155	176
ENSG00000209385	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	1499	1528	1318	1546	1551	337	311	336	301	343
ENSG00000201725	0	0	0	0	0	0	1	0	1	0
ENSG00000183445	0	0	0	1	0	0	0	0	1	1
ENSG00000131686	0	0	0	0	0	2	0	0	0	1
ENSG00000212621	0	1	0	0	0	0	2	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	13	16	14	24	20	0	0	1	0	1
ENSG00000212602	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	4	5	5	7	7	2	0	2	1	2
ENSG00000207865	0	0	0	0	0	0	0	0	0	0
ENSG00000204772	0	0	0	0	0	0	0	0	0	0
ENSG00000049239	183	232	179	207	199	838	822	814	773	895
ENSG00000171621	13	16	7	14	13	27	30	37	24	35
ENSG00000209395	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	20	22	19	25	31	20	21	23	24	15
ENSG00000188807	1	5	9	3	5	0	0	1	0	0
ENSG00000171608	16	30	20	22	26	14	18	14	14	19
ENSG00000179840	0	1	0	0	3	0	1	1	1	1
ENSG00000171603	533	576	556	635	581	68	44	51	62	81
ENSG00000204749	0	0	0	0	0	0	0	0	0	0
ENSG00000178585	90	75	82	84	72	38	36	32	32	31
ENSG00000162441	32	57	53	73	68	24	28	25	14	23
ENSG00000173614	60	38	52	50	44	21	26	22	24	22
ENSG00000202415	1	0	0	0	0	0	1	0	1	1
ENSG00000162444	26	32	24	26	22	6	4	7	4	4
ENSG00000130939	167	161	127	158	175	85	74	77	74	108
ENSG00000201746	0	0	0	0	0	0	0	0	0	0
ENSG00000054523	207	248	223	219	230	129	119	119	108	116
ENSG00000199562	0	0	0	0	0	0	0	2	1	0
ENSG00000142657	166	159	138	138	177	82	63	79	78	89
ENSG00000175279	30	22	22	20	32	8	10	6	8	11
ENSG00000160049	87	74	90	105	92	50	44	42	42	44
ENSG00000142655	36	36	25	44	40	38	34	22	39	37
ENSG00000209421	0	0	0	1	0	0	0	0	0	0
ENSG00000130940	36	44	43	56	45	7	4	2	4	9
ENSG00000175262	0	0	0	0	0	0	0	0	0	0
ENSG00000215785	1	0	0	0	0	4	1	0	1	0
ENSG00000207213	0	0	0	0	0	0	0	0	0	0
ENSG00000120948	152	181	176	179	178	138	131	122	108	120
ENSG00000009724	10	12	10	9	9	162	145	132	139	174
ENSG00000116649	37	32	44	54	47	37	42	43	40	47
ENSG00000171824	104	108	111	86	118	44	51	49	60	56
ENSG00000198793	204	198	174	226	224	113	133	119	119	124
ENSG00000209426	0	0	1	0	0	0	0	0	0	0
ENSG00000171819	0	2	1	0	0	2	1	1	1	2
ENSG00000207451	0	0	0	0	0	0	0	0	0	0
ENSG00000120942	11	3	2	11	7	4	3	4	2	2
ENSG00000204624	3	0	0	3	1	0	0	0	0	0
ENSG00000116661	43	18	30	42	30	11	8	12	8	4
ENSG00000132879	102	78	76	113	96	30	32	24	22	25
ENSG00000116663	6	6	1	4	12	8	3	6	9	9
ENSG00000116670	24	33	26	33	23	34	25	20	15	27
ENSG00000162490	1	0	0	3	2	0	0	1	0	0
ENSG00000177674	75	53	62	74	56	9	15	7	9	9
ENSG00000177553	0	0	0	1	0	0	0	1	0	0
ENSG00000215910	5	18	7	15	13	4	3	5	1	6
ENSG00000177000	130	146	108	134	130	29	28	34	28	33
ENSG00000116685	34	30	24	33	29	29	28	22	17	28
ENSG00000011021	21	16	15	6	13	3	3	4	6	2
ENSG00000175206	2	4	3	4	4	2	0	3	3	2
ENSG00000120937	0	0	0	1	0	0	1	0	0	0
ENSG00000199347	8	5	2	2	6	0	2	1	2	2
ENSG00000201801	0	0	0	0	0	0	0	0	0	0
ENSG00000083444	210	208	158	209	188	173	164	172	157	162
ENSG00000116688	117	134	122	124	115	71	72	72	68	68
ENSG00000116691	16	27	19	28	19	16	22	22	19	28
ENSG00000202461	0	1	0	1	2	0	0	0	0	0
ENSG00000209447	0	0	0	0	0	0	0	0	0	0
ENSG00000120949	1	1	0	4	2	0	0	1	0	1
ENSG00000201135	0	0	0	0	0	0	0	0	0	0
ENSG00000028137	21	16	25	25	22	47	50	45	46	68
ENSG00000048707	383	393	349	420	418	162	161	164	174	171
ENSG00000209457	0	0	0	0	0	0	0	0	0	0
ENSG00000209460	0	0	0	0	0	0	0	0	0	0
ENSG00000209463	0	0	0	0	0	0	1	1	2	0
ENSG00000162496	220	232	220	250	280	524	485	484	454	590
ENSG00000204518	5	7	2	4	4	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0	0
ENSG00000209466	0	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0	0	0	0	0
ENSG00000204513	0	0	0	0	0	0	0	0	0	0
ENSG00000179172	2	7	3	5	13	1	2	4	4	4
ENSG00000120952	0	0	0	0	0	0	0	0	0	0
ENSG00000116708	0	0	0	0	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0	0	0	0	0
ENSG00000204509	0	0	0	0	0	0	0	0	0	0
ENSG00000204508	0	0	0	0	0	0	0	0	0	0
ENSG00000204507	0	0	0	0	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0	0	0	0	0
ENSG00000179412	0	0	0	1	1	0	1	0	0	0
ENSG00000204503	0	0	0	0	0	0	0	0	0	0
ENSG00000204502	0	0	0	0	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0	0	0	0	0
ENSG00000204495	0	0	0	0	0	0	0	0	0	0
ENSG00000204491	0	0	0	0	0	0	0	0	0	0
ENSG00000204488	0	0	0	0	0	0	1	0	0	0
ENSG00000204486	0	0	0	0	0	0	0	0	0	0
ENSG00000204485	0	0	0	0	0	0	0	0	0	0
ENSG00000157358	0	0	0	0	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0	0	0	0	0
ENSG00000215909	1	0	0	0	0	0	0	0	0	2
ENSG00000162493	20	26	39	37	40	5	4	4	6	2
ENSG00000212288	0	0	0	0	0	0	0	0	0	0
ENSG00000116731	116	116	118	98	104	38	42	34	36	48
ENSG00000209090	0	0	0	0	0	0	0	0	0	0
ENSG00000189337	28	28	29	32	37	3	3	2	2	5
ENSG00000203390	0	4	0	4	3	0	0	0	0	0
ENSG00000175147	26	28	23	43	17	7	7	6	5	3
ENSG00000171729	119	112	85	110	136	9	10	13	11	21
ENSG00000204464	1	3	2	1	3	0	0	0	0	0
ENSG00000215720	1	3	6	5	3	0	3	0	1	3
ENSG00000142621	2	2	1	2	2	0	0	1	1	0
ENSG00000142634	56	36	43	50	53	62	75	57	48	72
ENSG00000162438	0	0	0	0	0	0	0	0	0	0
ENSG00000142615	0	0	0	0	0	0	0	0	0	0
ENSG00000215704	0	1	0	0	0	0	0	0	0	0
ENSG00000132906	61	73	44	78	54	22	22	28	18	22
ENSG00000116138	60	78	65	71	67	22	13	16	12	24
ENSG00000116771	528	613	536	598	624	161	162	166	175	163
ENSG00000142635	1	4	4	4	5	2	0	0	1	2
ENSG00000200449	0	0	0	0	0	0	0	0	0	0
ENSG00000197312	30	15	19	15	28	11	12	7	8	10
ENSG00000215695	41	46	27	37	55	23	23	30	23	35
ENSG00000116786	100	88	103	107	105	54	39	38	48	48
ENSG00000162461	17	16	14	17	18	9	16	12	11	11
ENSG00000162460	3	15	16	18	19	31	38	29	25	43
ENSG00000162458	46	44	46	69	59	17	28	21	13	23
ENSG00000197883	85	78	74	82	84	10	17	9	12	8
ENSG00000179743	8	12	8	13	10	6	5	3	13	11
ENSG00000065526	197	197	170	200	217	128	125	102	126	130
ENSG00000209487	0	1	0	0	1	0	0	0	0	0
ENSG00000116809	35	45	28	52	41	15	15	12	12	10
ENSG00000183888	25	19	23	28	25	0	0	0	1	0
ENSG00000173641	107	116	102	127	123	17	19	13	21	25
ENSG00000186510	515	564	516	568	590	6	1	1	3	2
ENSG00000184908	484	486	463	573	512	4	2	5	4	3
ENSG00000185519	5	8	7	8	11	0	0	0	1	0
ENSG00000142627	52	50	45	59	51	21	23	22	31	32
ENSG00000142632	8	6	2	10	7	5	2	4	4	1
ENSG00000204378	0	0	4	4	3	0	0	0	0	0
ENSG00000204377	10	8	7	10	16	4	9	8	6	7
ENSG00000132881	10	7	16	9	11	6	9	2	1	4
ENSG00000037637	56	45	48	56	63	30	30	18	18	23
ENSG00000055070	127	133	125	148	155	85	87	78	61	76
ENSG00000187144	0	1	0	0	0	2	1	1	0	1
ENSG00000157191	87	96	81	81	94	76	72	72	80	69
ENSG00000080947	23	21	27	42	23	14	15	21	15	17
ENSG00000206652	0	0	0	0	0	0	0	0	0	0
ENSG00000197511	0	1	0	1	0	0	0	0	0	0
ENSG00000204373	0	0	0	0	0	0	0	0	0	0
ENSG00000209511	0	0	0	0	0	0	0	0	0	0
ENSG00000209524	0	0	0	0	0	0	0	0	0	0
ENSG00000179571	34	32	30	32	32	20	16	17	18	10
ENSG00000215908	80	75	58	88	86	186	232	224	199	231
ENSG00000186543	14	20	11	15	13	17	24	23	27	40
ENSG00000186301	9	10	6	12	17	132	128	116	134	129
ENSG00000207513	0	0	0	0	0	0	0	0	0	0
ENSG00000188605	0	0	0	0	0	0	0	0	0	0
ENSG00000157819	46	37	32	34	31	21	14	22	13	23
ENSG00000116219	2	3	1	3	1	3	0	0	0	2
ENSG00000209530	0	0	0	0	0	0	0	0	0	0
ENSG00000189092	0	0	0	0	0	0	0	0	0	0
ENSG00000207389	0	0	0	0	0	0	0	0	0	0
ENSG00000186715	44	44	57	50	58	88	90	106	90	84
ENSG00000209540	0	0	0	0	0	0	0	0	0	0
ENSG00000209545	0	0	0	0	0	0	0	0	0	0
ENSG00000196690	0	0	0	0	1	0	0	0	0	0
ENSG00000199554	0	1	1	0	0	0	0	0	0	0
ENSG00000207005	0	0	0	0	0	0	0	0	0	0
ENSG00000058453	42	39	32	47	44	10	14	11	10	17
ENSG00000117122	0	5	1	1	0	0	0	1	0	0
ENSG00000159363	57	41	33	61	60	7	15	12	10	9
ENSG00000117118	342	349	375	385	413	199	179	184	199	206
ENSG00000117115	115	110	106	102	110	2	2	2	2	2
ENSG00000204362	1	2	1	1	0	0	0	0	0	0
ENSG00000142623	0	2	1	0	1	0	0	0	0	0
ENSG00000142619	0	0	1	0	0	0	0	1	0	0
ENSG00000159339	0	0	0	0	0	0	1	0	0	0
ENSG00000197996	0	0	0	0	0	0	0	0	0	0
ENSG00000179051	40	42	40	32	38	14	24	20	14	14
ENSG00000212578	0	0	0	0	0	0	0	0	0	0
ENSG00000074964	152	140	139	155	180	295	321	239	284	287
ENSG00000117148	0	0	0	0	0	0	0	0	0	0
ENSG00000117154	0	0	0	0	1	2	2	2	0	1
ENSG00000179023	176	158	138	169	182	62	76	51	57	78
ENSG00000124854	0	1	0	0	1	0	0	0	0	0
ENSG00000009709	0	0	0	0	0	0	0	0	0	0
ENSG00000179002	0	0	0	0	0	0	0	0	0	0
ENSG00000159423	808	771	748	922	906	1150	1025	1056	993	1153
ENSG00000169991	83	72	66	66	76	39	39	42	37	66
ENSG00000127481	440	471	444	469	500	312	320	325	299	319
ENSG00000127463	70	86	78	85	84	35	45	28	22	20
ENSG00000053372	35	29	30	36	38	40	43	42	54	51
ENSG00000211454	10	12	10	12	14	71	70	84	64	82
ENSG00000162482	132	143	126	141	154	111	120	108	114	88
ENSG00000053371	127	125	108	148	130	75	72	76	58	59
ENSG00000200403	0	0	0	0	0	0	0	0	0	0
ENSG00000040487	18	16	18	20	9	13	16	14	11	15
ENSG00000212349	1	0	0	1	0	0	0	0	0	0
ENSG00000212676	3	3	2	2	2	4	3	3	3	8
ENSG00000077549	340	354	340	380	368	162	160	134	117	158
ENSG00000204312	0	0	1	0	0	0	0	0	0	0
ENSG00000209568	0	1	2	1	1	0	0	0	0	1
ENSG00000201609	0	0	0	0	0	0	0	0	0	0
ENSG00000209589	0	0	0	0	0	0	0	0	0	1
ENSG00000173436	125	146	124	137	145	29	38	32	34	36
ENSG00000158747	73	75	71	100	86	15	9	12	12	10
ENSG00000158748	0	1	0	0	0	0	0	0	0	0
ENSG00000162542	59	80	49	70	77	20	12	14	22	18
ENSG00000178828	49	38	39	44	33	2	1	2	1	2
ENSG00000169914	72	63	62	76	73	30	17	28	14	20
ENSG00000188784	0	0	0	0	0	0	0	0	0	0
ENSG00000209591	0	0	0	0	0	0	0	0	0	0
ENSG00000188257	4	10	9	5	4	66	85	84	69	89
ENSG00000127472	1	0	0	0	0	18	20	15	20	18
ENSG00000117215	0	0	0	0	1	0	0	0	0	0
ENSG00000158786	0	0	1	0	2	0	0	0	0	0
ENSG00000187980	0	0	0	0	0	0	0	0	0	0
ENSG00000162543	35	44	38	34	42	2	0	2	0	0
ENSG00000158816	23	23	15	31	33	0	0	0	1	0
ENSG00000162545	493	474	456	501	509	187	200	185	152	192
ENSG00000090432	85	95	82	82	97	67	55	53	45	66
ENSG00000215520	0	1	1	1	1	0	0	0	0	0
ENSG00000183114	5	4	3	0	4	2	1	0	1	0
ENSG00000158825	29	29	36	26	34	63	55	65	59	49
ENSG00000158828	363	376	345	388	415	238	225	199	201	232
ENSG00000215511	68	67	68	69	84	39	41	55	38	53
ENSG00000117242	287	308	247	320	292	190	175	184	161	186
ENSG00000117245	9	11	5	4	9	5	6	4	2	9
ENSG00000189410	3	1	1	2	3	0	0	0	0	0
ENSG00000127483	278	272	265	269	288	96	97	110	78	103
ENSG00000075151	197	214	172	188	215	47	61	77	79	70
ENSG00000117298	98	89	80	104	126	32	30	24	32	36
ENSG00000212674	10	11	16	13	23	15	10	18	11	8
ENSG00000182068	2	1	1	3	1	0	0	0	0	1
ENSG00000209594	0	0	0	0	0	0	0	0	0	0
ENSG00000187952	0	0	0	0	2	0	0	0	0	0
ENSG00000142794	13	7	7	12	5	3	1	8	4	8
ENSG00000176378	0	0	0	0	0	0	1	0	1	0
ENSG00000162551	180	174	180	192	209	110	124	92	95	99
ENSG00000076864	594	609	543	630	714	89	69	79	76	94
ENSG00000090686	108	130	102	107	131	96	92	92	74	68
ENSG00000201269	0	0	0	0	0	0	0	0	0	0
ENSG00000187942	203	191	184	219	245	69	79	80	64	79
ENSG00000142798	10	7	7	3	12	1	1	1	3	4
ENSG00000142789	0	0	0	0	0	0	0	0	0	0
ENSG00000209600	0	0	0	0	0	0	0	0	0	0
ENSG00000201919	0	0	0	0	0	0	0	0	0	0
ENSG00000209608	0	0	0	0	0	0	0	0	0	0
ENSG00000201273	0	0	0	0	0	0	0	0	0	0
ENSG00000070831	212	202	218	206	196	140	156	131	130	153
ENSG00000162552	2	1	2	2	1	0	0	0	0	1
ENSG00000198137	3	0	0	0	2	0	0	1	0	0
ENSG00000184677	60	70	64	88	92	20	22	22	21	20
ENSG00000070886	0	0	0	0	0	0	0	0	0	0
ENSG00000173372	15	15	5	9	16	50	57	41	40	60
ENSG00000159189	6	3	2	7	4	44	30	41	49	54
ENSG00000173369	10	15	7	19	13	44	34	43	53	60
ENSG00000133216	4	8	4	7	9	0	1	1	0	0
ENSG00000216157	0	0	0	0	0	0	0	0	0	0
ENSG00000215906	0	0	0	0	0	0	0	0	0	0
ENSG00000004487	107	119	109	132	112	50	70	61	51	50
ENSG00000169641	149	176	143	145	159	21	30	27	31	38
ENSG00000206935	0	0	0	1	0	0	0	0	0	0
ENSG00000209629	0	0	0	0	0	0	0	0	0	0
ENSG00000179546	0	0	0	0	0	0	0	0	0	0
ENSG00000215381	1	0	1	0	1	1	0	2	0	0
ENSG00000125944	228	235	224	222	240	96	90	85	81	99
ENSG00000125945	34	42	30	44	36	14	20	14	16	20
ENSG00000187251	12	14	8	14	13	10	5	4	4	6
ENSG00000201405	0	0	1	2	2	3	0	4	1	1
ENSG00000204219	120	144	128	130	130	140	144	143	140	150
ENSG00000088280	60	68	54	70	78	31	32	34	24	30
ENSG00000203345	0	0	0	0	0	0	1	1	0	0
ENSG00000007968	0	0	0	0	1	1	2	1	0	1
ENSG00000203344	0	0	0	0	0	0	0	1	0	0
ENSG00000203343	0	0	0	0	0	1	0	0	0	1
ENSG00000117318	87	82	86	74	96	24	22	20	19	35
ENSG00000197880	0	1	0	0	0	1	0	0	0	0
ENSG00000142676	1049	1097	987	1010	1113	837	817	777	753	825
ENSG00000209640	1	0	0	0	2	0	1	0	1	0
ENSG00000011007	69	73	79	65	85	73	81	72	62	80
ENSG00000057757	84	92	68	69	98	83	84	84	81	106
ENSG00000011009	24	16	28	33	16	15	15	8	16	10
ENSG00000117308	58	53	49	60	73	61	55	70	47	74
ENSG00000117305	240	215	246	236	258	400	393	369	362	409
ENSG00000179163	218	209	182	200	214	102	89	99	77	77
ENSG00000188822	0	1	0	0	1	1	0	0	0	0
ENSG00000189266	5	7	6	12	4	2	7	4	3	2
ENSG00000188529	0	0	0	0	0	0	0	0	0	0
ENSG00000215905	0	0	0	0	0	0	0	0	0	0
ENSG00000142661	126	144	124	144	134	0	2	2	2	3
ENSG00000142677	3	4	2	6	2	12	25	11	12	13
ENSG00000185436	8	2	1	7	6	6	6	12	12	11
ENSG00000158055	1	3	1	2	2	0	0	0	0	0
ENSG00000001460	24	29	30	31	23	4	5	3	6	4
ENSG00000001461	23	26	32	35	32	3	4	4	2	6
ENSG00000117602	19	17	26	19	25	4	2	2	3	5
ENSG00000184454	2	4	0	1	2	8	4	14	10	10
